van_gogh,2022-07-21 13:33:37,Login
van_gogh,2022-07-21 15:23:30,Login
admin,2022-07-21 18:59:02,Login
admin,2022-07-30 19:20:25,Login
admin,2022-08-03 12:19:55,Login
admin,2022-08-07 16:27:34,Login
davinki,2022-07-21 13:32:47,Login
davinki,2022-07-21 13:33:33,Logout
basic,2022-07-21 18:40:44,Login
basic,2022-07-21 18:57:41,Login
basic,2022-07-21 18:58:20,Logout
superuser,2022-07-21 13:31:29,Login
superuser,2022-07-21 13:32:40,Logout
superuser,2022-07-21 15:21:24,Login
superuser,2022-07-21 15:23:09,Logout
superuser,2022-07-21 15:25:40,Login
superuser,2022-07-21 16:14:11,Logout
superuser,2022-07-21 16:14:40,Login
superuser,2022-07-21 18:39:25,Login
superuser,2022-07-21 18:58:27,Login
superuser,2022-07-21 18:58:57,Logout
